"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens"
"236",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"237",0.3,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"238",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"239",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"240",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"241",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"242",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"243",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"244",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"245",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"246",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"247",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"248",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"249",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"250",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"251",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"252",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"253",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"254",0.2,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"255",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"256",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"257",0.2,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"258",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"259",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"260",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"261",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"262",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"263",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"264",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"265",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"266",0.2,0.01,2,2,19,100,1e+06,100,20,2000,2500,0.8
"267",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"268",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"269",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"270",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"271",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"272",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"273",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"274",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"275",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"276",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"277",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"278",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"279",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"280",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"281",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"282",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"283",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"284",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"285",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"286",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"287",0.2,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"288",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"289",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"290",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"291",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"292",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"293",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"294",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"295",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"296",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"297",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"298",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"299",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"300",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"301",0.1,0.01,2,2,19,100,1e+06,200,20,4000,5000,0.8
"302",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"303",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"304",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"305",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"306",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"307",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"308",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"309",0.3,0.01,2,2,19,100,1e+06,200,20,4000,5000,0.8
"310",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"311",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"312",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"313",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"314",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"315",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"316",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"317",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"318",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"319",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"320",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"321",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"322",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"323",0.2,0.01,2,2,19,100,1e+06,200,20,4000,5000,0.8
"324",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"325",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"326",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"327",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"328",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"329",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"330",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"331",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"332",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"333",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"334",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"335",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"336",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"337",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"338",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"339",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"340",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"341",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"342",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"343",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"344",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"345",0.3,0.01,2,2,19,100,1e+06,200,20,4000,5000,0.8
"346",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"347",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"348",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"349",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"350",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"351",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"352",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"353",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"354",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"355",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"356",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"357",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"358",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"359",0.2,0.01,2,2,19,100,1e+06,200,20,4000,5000,0.8
"360",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"361",0.1,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"362",0.2,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
"363",0.3,0.01,1,2,19,100,1e+06,200,20,4000,5000,0.8
