"","pubmedRefs","colonySize","mass","distrSize","rand","AIC","boot","lambda","attempt","predictors","beta.(Intercept)","beta.pubmedRefs","beta.colonySize","beta.mass","beta.distrSize","beta.rand","dAIC","weight"
"11",FALSE,TRUE,TRUE,FALSE,FALSE,266.546456458197,1,-0.929995867731448,1,"colonySize + mass",3.63523503702128,NA,1.6805494072677,-0.44712050215526,NA,NA,15.384189614069,1.75306663536266e-04
"12",FALSE,TRUE,FALSE,TRUE,FALSE,255.989378365206,1,-1.53713547346647,1,"colonySize + distrSize",3.47278772432439,NA,1.43256729703102,NA,1.83348619749002,NA,4.82711152107726,0.0343746911391971
"13",FALSE,TRUE,FALSE,FALSE,TRUE,287.712462531852,1,0.0264719259763651,1,"colonySize + rand",3.62785227270216,NA,1.37211709976787,NA,NA,0.00549624863209759,36.5501956877239,4.44281882522743e-09
"14",FALSE,FALSE,TRUE,TRUE,FALSE,271.154272542487,1,-0.828281496633403,1,"mass + distrSize",3.40349794987281,NA,NA,-0.419431731358136,0.977154925923494,NA,19.9920056983587,1.75074895077356e-05
"15",FALSE,FALSE,TRUE,FALSE,TRUE,276.160855707999,1,-0.93683790112767,2,"mass + rand",3.37570529145911,NA,NA,-0.68940435502039,NA,0.412456156533888,24.9985888638705,1.43237968777836e-06
"16",FALSE,FALSE,FALSE,TRUE,TRUE,254.522298186521,1,-0.487950026716815,1,"distrSize + rand",4.04573891549082,NA,NA,NA,1.62446518881032,-0.557629959104939,3.36003134239223,0.0715832179447499
"17",TRUE,TRUE,TRUE,FALSE,FALSE,273.837222660222,1,NA,5,"pubmedRefs + colonySize + mass",3.62962962962963,1.54952934909414,0.87849730776246,-0.4595817698797,NA,NA,22.6749558160932,4.57750322628029e-06
"18",TRUE,TRUE,FALSE,TRUE,FALSE,251.162266844128,1,-0.92676667671304,2,"pubmedRefs + colonySize + distrSize",3.33492881796895,0.63642648423246,2.2551198100743,NA,2.11524154736637,NA,0,0.384089781574709
"19",TRUE,TRUE,FALSE,FALSE,TRUE,276.54307611571,1,0.0686921901382707,1,"pubmedRefs + colonySize + rand",3.6025443097931,1.62899238637536,0.80707032629307,NA,NA,0.213101918390808,25.3808092715813,1.18320513772645e-06
"20",TRUE,FALSE,TRUE,TRUE,FALSE,276.637025308872,1,NA,5,"pubmedRefs + mass + distrSize",3.62962962962963,1.75700956529704,NA,0.110497222451418,0.579980155224973,NA,25.4747584647434,1.12890978847305e-06
"21",TRUE,FALSE,TRUE,FALSE,TRUE,277.6055230733,1,NA,5,"pubmedRefs + mass + rand",3.62962962962963,1.891065713079,NA,-0.205673163370644,NA,0.242803546792081,26.4432562291712,6.9558886516223e-07
"22",TRUE,FALSE,FALSE,TRUE,TRUE,271.393766803563,1,-0.703297337209366,1,"pubmedRefs + distrSize + rand",3.09403295068932,0.796905856291861,NA,NA,2.52019023490901,-0.0407817382095507,20.2314999594343,1.55316772303613e-05
"23",FALSE,TRUE,TRUE,TRUE,FALSE,257.661846380173,1,-1.56162995954679,1,"colonySize + mass + distrSize",3.42214224540699,NA,1.06618398048632,-0.117347241616522,1.76759276847992,NA,6.4995795360451,0.0148959082839151
"24",FALSE,TRUE,TRUE,FALSE,TRUE,268.881999124383,1,-0.929634235313974,1,"colonySize + mass + rand",3.63927791603497,NA,1.68462150694017,-0.445906022966257,NA,-0.0119568523123366,17.7197322802544,5.4530788583687e-05
"25",FALSE,TRUE,FALSE,TRUE,TRUE,278.495728866052,1,-0.194813860411377,1,"colonySize + distrSize + rand",3.34257285602558,NA,1.72366459005175,NA,2.05225072057219,-0.280206556818277,27.3334620219233,4.45704367209985e-07
"26",FALSE,FALSE,TRUE,TRUE,TRUE,271.707709439134,1,-0.865383559017422,2,"mass + distrSize + rand",3.23658484167771,NA,NA,-0.433716489217545,1.12416300164939,0.517717940289666,20.5454425950058,1.32753683305342e-05
"27",TRUE,TRUE,TRUE,TRUE,FALSE,274.395758452367,1,NA,5,"pubmedRefs + colonySize + mass + distrSize",3.62962962962963,1.41168912866432,0.922965458162302,-0.0716524471579883,0.66155258299127,NA,23.2334916082391,3.46213623082948e-06
