"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"68",0.2,0.01,1,2,9.1,100,1.4e+06,400,20,8000,4e+04,0.2,341.988425821809,TRUE,343.12717177282,779.746749826122,1.13874595101083
"69",0.3,0.01,1,2,8.8,100,1.4e+06,400,20,8000,4e+04,0.2,367.019400843875,TRUE,368.296180509651,880.875162531344,1.27677966577647
"70",0.1,0.01,1,2,9.6,100,1.4e+06,400,20,8000,4e+04,0.2,352.592901111419,TRUE,353.724055430206,826.111715464668,1.13115431878691
"71",0.2,0.01,1,2,8.6,100,1.4e+06,400,20,8000,4e+04,0.2,356.059392051707,TRUE,357.265742509931,812.879489285448,1.20635045822326
"72",0.3,0.01,1,2,12.1,100,1.4e+06,400,20,8000,4e+04,0.2,364.441597813308,TRUE,365.697087215993,900.075380163689,1.2554894026843
"73",0.1,0.01,2,2,6.3,100,1.4e+06,400,20,8000,4e+04,0.2,366.359056948581,TRUE,367.605971012806,865.412088493171,1.24691406422522
"74",0.2,0.01,2,2,11,100,1.4e+06,400,20,8000,4e+04,0.2,392.328401465107,TRUE,393.705208654779,980.33307271852,1.3768071896713
"75",0.3,0.01,2,2,7.5,100,1.4e+06,400,20,8000,4e+04,0.2,344.134255262209,TRUE,345.287600822978,838.045382623299,1.15334556076914
"76",0.1,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,381.819016542079,TRUE,383.216435825034,905.020906842403,1.39741928295535
"77",0.2,0.01,1,2,8.8,100,1.4e+06,400,20,8000,4e+04,0.2,362.51218845124,TRUE,363.725340750877,861.631165198245,1.21315229963761
"78",0.3,0.01,1,2,7.2,100,1.4e+06,400,20,8000,4e+04,0.2,363.889579033289,TRUE,365.189440836998,842.83258904106,1.29986180370855
"79",0.1,0.01,1,2,9.1,100,1.4e+06,400,20,8000,4e+04,0.2,318.066657926437,TRUE,319.131361484834,735.591802343449,1.06470355839684
"80",0.2,0.01,1,2,9.3,100,1.4e+06,400,20,8000,4e+04,0.2,340.102829940136,TRUE,341.28490148989,851.327838512181,1.18207154975454
"81",0.3,0.01,1,2,7.5,100,1.4e+06,400,20,8000,4e+04,0.2,301.133028045865,TRUE,302.100837589644,693.939040074936,0.967809543778628
"82",0.1,0.01,2,2,8.7,100,1.4e+06,400,20,8000,4e+04,0.2,367.62716784085,TRUE,368.842876741955,834.260250062784,1.21570890110519
"83",0.2,0.01,1,2,6.9,100,1.4e+06,400,20,8000,4e+04,0.2,353.937253342005,TRUE,355.079508770295,792.899075960466,1.14225542829035
"84",0.3,0.01,1,2,7.9,100,1.4e+06,400,20,8000,4e+04,0.2,333.615522630322,TRUE,334.750887070809,773.981631276911,1.13536444048691
"85",0.1,0.01,1,2,8.6,100,1.4e+06,400,20,8000,4e+04,0.2,348.947281147873,TRUE,350.170471208687,811.991514303026,1.22319006081403
"86",0.2,0.01,1,2,10.2,100,1.4e+06,400,20,8000,4e+04,0.2,326.914694951273,TRUE,328.117111792789,805.468847332126,1.20241684151512
"87",0.3,0.01,1,2,9.2,100,1.4e+06,400,20,8000,4e+04,0.2,374.265435508928,TRUE,375.488621591233,853.339520962059,1.22318608230546
"88",0.1,0.01,1,2,9.2,100,1.4e+06,400,20,8000,4e+04,0.2,350.379375246598,TRUE,351.64818416721,844.288985342586,1.26880892061263
"89",0.2,0.01,1,2,10.5,100,1.4e+06,400,20,8000,4e+04,0.2,366.829492345361,TRUE,368.021626943516,900.169886603578,1.19213459815455
"90",0.3,0.01,1,2,9.2,100,1.4e+06,400,20,8000,4e+04,0.2,355.099623245914,TRUE,356.21558627328,776.445968859122,1.11596302736643
"91",0.1,0.01,1,2,10.6,100,1.4e+06,400,20,8000,4e+04,0.2,385.753194723553,TRUE,387.150157903235,936.233615267306,1.39696317968185
"92",0.2,0.01,1,2,8.8,100,1.4e+06,400,20,8000,4e+04,0.2,349.92693666467,TRUE,351.187862760215,837.622389975175,1.26092609554428
"93",0.3,0.01,1,2,9.3,100,1.4e+06,400,20,8000,4e+04,0.2,363.986632115062,TRUE,365.267902887544,893.227855790277,1.28127077248257
"94",0.1,0.01,1,2,11.8,100,1.4e+06,400,20,8000,4e+04,0.2,363.632346532735,TRUE,364.907611216477,866.970831201283,1.27526468374219
"95",0.2,0.01,1,2,7.2,100,1.4e+06,400,20,8000,4e+04,0.2,380.705012100685,TRUE,382.143440661003,984.41339917793,1.43842856031881
"96",0.3,0.01,1,2,8.3,100,1.4e+06,400,20,8000,4e+04,0.2,341.832666295121,TRUE,342.949916791685,780.457505217491,1.11725049656388
"97",0.1,0.01,1,2,12.9,100,1.4e+06,400,20,8000,4e+04,0.2,372.578157501352,TRUE,373.944955914394,939.895884848229,1.36679841304192
"98",0.2,0.01,1,2,7.2,100,1.4e+06,400,20,8000,4e+04,0.2,379.253528390126,TRUE,380.577232728505,902.088449344101,1.32370433837877
