"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"77","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1227.65547593915","TRUE","1230.81930288337","2319.9921082337","3.16382694422146"
"78","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1312.57637273243","TRUE","1317.06689443486","3031.87778859387","4.49052170242862"
"79","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1261.54094551605","TRUE","1265.55733891767","3151.02887837897","4.01639340162251"
"80","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1917.92659313776","TRUE","1920.690793216","4257.45537762326","2.76420007824231"
"81","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1533.24332042587","TRUE","1537.97921953236","6713.45396133068","4.73589910648866"
"82","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1472.5468255304","TRUE","1477.17002901814","2966.8340630964","4.62320348773824"
"83","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1372.24995029617","TRUE","1376.13021869574","2829.20781087283","3.88026839956751"
"84","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1894.93815600246","TRUE","1901.33436204432","3963.56346664187","6.39620604186462"
"85","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1499.97980857565","TRUE","1502.15740010905","3339.1453662413","2.17759153340603"
"86","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1150.79604088247","TRUE","1153.88004185577","2882.21306551144","3.0840009733015"
"87","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1512.54735817476","TRUE","1517.40623331708","3129.22838598131","4.85887514231831"
"88","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1323.53008326734","TRUE","1327.05868132647","3147.29267761757","3.52859805912794"
"89","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1364.90855583263","TRUE","1369.46093333591","2740.32106505375","4.5523775032741"
"90","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1625.13840976306","TRUE","1631.68309928547","4618.17995366012","6.54468952240359"
"91","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1601.2513772383","TRUE","1607.57574671057","3835.37144614906","6.32436947227075"
"92","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1315.1081375972","TRUE","1318.81278835282","2357.94210869484","3.70465075562333"
"93","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1232.48295744385","TRUE","1234.50899884866","3349.12640332898","2.02604140481412"
